##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
188.27299,2.0,99.9695,1.0,0.02,0.9751681240128284,0.0251453879645236
206.91499,2.5,99.96511,1.0,0.03,0.9715939621904124,0.0288172961690105
243.96001,3.5,99.95486,1.0,0.04,0.9632488235389874,0.037443516822074
279.45901,4.5,99.94004,1.0,0.05,0.9511829742888284,0.0500488329574852
296.271,5.0,99.93195,1.0,0.06,0.944596420953219,0.0569975104821798
327.59201,6.0,99.91688,1.0,0.07,0.932327031735957,0.070071633424339
355.547,7.0,99.90577,1.0,0.08,0.9232817155976784,0.0798208737163566
380.19199,8.0,99.89518,1.0,0.09,0.9146597625909798,0.0892031270206629
412.39301,9.5,99.87726,1.0,0.1,0.9000700177486911,0.105282721185349
422.254,10.0,99.87018,1.0,0.11,0.8943057658801927,0.1117075422839147
441.28,11.0,99.85285,1.0,0.12,0.8801963753602693,0.1276102425865068
450.64099,11.5,99.8417,1.0,0.13,0.8711184928272546,0.137977269100968
459.92499,12.0,99.82805,1.0,0.14,0.8600052106231624,0.1508168308887962
469.237,12.5,99.811,1.0,0.15,0.8461237848664028,0.1670896122703335
478.577,13.0,99.78987,1.0,0.17,0.8289205868464287,0.1876309223480032
487.98901,13.5,99.76429,1.0,0.19,0.8080943774119517,0.2130764235544029
497.45001,14.0,99.73352,1.0,0.22,0.783042678260303,0.2445680783971666
506.96701,14.5,99.69768,1.0,0.25,0.7538631885757143,0.2825443749500876
516.53601,15.0,99.65719,1.0,0.28,0.7208978555029079,0.327257822325775
526.14301,15.5,99.61257,1.0,0.32,0.6845700421734868,0.3789643134498903
535.78101,16.0,99.56559,1.0,0.35,0.6463208115545588,0.4364592861570614
545.466,16.5,99.5183,1.0,0.39,0.6078191913764177,0.4978778238475214
555.20203,17.0,99.47367,1.0,0.43,0.5714832364483098,0.5595201287263686
564.992,17.5,99.43413,1.0,0.46,0.5392913552505161,0.6174993063418492
574.84601,18.0,99.40127,1.0,0.49,0.5125380619738489,0.668380303461204
584.758,18.5,99.37569,1.0,0.51,0.4917118525393719,0.7098623996292828
594.70001,19.0,99.35589,1.0,0.52,0.47559148714442,0.7431960135174185
604.65997,19.5,99.34114,1.0,0.54,0.4635826290850463,0.7687706378366495
614.61401,20.0,99.3298,1.0,0.55,0.4543500561770383,0.7888873291981382
634.42798,21.0,99.31338,1.0,0.56,0.44098155113738,0.8187522385659646
654.09802,22.0,99.30187,1.0,0.57,0.4316105710517295,0.8402315531925162
673.87402,23.0,99.29248,1.0,0.58,0.4239656098871582,0.8581029357963746
713.72601,25.0,99.27453,1.0,0.59,0.409351440248809,0.893181224785977
743.409,26.5,99.2612,1.0,0.6,0.3984986892026165,0.9200510700857174
763.11902,27.5,99.25263,1.0,0.61,0.3915213391301515,0.937715258957112
782.85699,28.5,99.24437,1.0,0.62,0.3847963786169111,0.9550409713135836
812.51898,30.0,99.23232,1.0,0.63,0.3749857522023065,0.980867247860704
852.23102,32.0,99.21832,1.0,0.64,0.3635875140442653,1.0117352570806897
902.15399,34.5,99.1999,1.0,0.65,0.3485906892677474,1.053856855180768
912.15302,35.0,99.19501,1.0,0.66,0.3446094475111134,1.0653435393874084
942.284,36.5,99.17757,1.0,0.67,0.3304104994056689,1.1074194599780256
952.354,37.0,99.17072,1.0,0.68,0.3248335043069112,1.124442522360303
972.34198,38.0,99.15535,1.0,0.69,0.3123198671291116,1.1637274011893914
992.16901,39.0,99.13962,1.0,0.7,0.2995131323986759,1.2055970146460944
1002.13702,39.5,99.13219,1.0,0.71,0.2934639245762285,1.2260005618300018
1022.20203,40.5,99.11959,1.0,0.72,0.2832055102339949,1.2615824603109158
1052.40796,42.0,99.10844,1.0,0.73,0.2741276277009802,1.2941614865135385
1182.77295,48.5,99.09655,1.0,0.74,0.2644472668653199,1.3301134166896749
1232.95801,51.0,99.08454,1.0,0.75,0.254669206845463,1.367789804009402
1263.01404,52.5,99.07179,1.0,0.76,0.244288668522949,1.4094046852450717
1282.95398,53.5,99.05482,1.0,0.77,0.2304723755556731,1.4676242694729618
1292.90698,54.0,99.03765,1.0,0.78,0.2164932506146939,1.530195907015409
1302.82605,54.5,99.00784,1.0,0.81,0.1922231449367449,1.6490983685890908
1312.69702,55.0,98.95168,1.0,0.85,0.1464999267256127,1.920730350691606
1322.53101,55.5,98.87313,1.0,0.92,0.0825476690603037,2.494379345716011
1331.61499,56.0,98.77174,2.0,1.0,0.0,inf
