##Temp./°C;Time/min;Mass/%;Segment
1163.56702;100.0;97.4598;1
1168.58997;100.5;97.4598;1
1173.59705;101.0;97.46203;1
1178.61597;101.5;97.46667;1
1183.62598;102.0;97.47293;1
1188.61804;102.5;97.48037;1
1193.60706;103.0;97.48814;1
1198.60901;103.5;97.49647;1
1203.60706;104.0;97.50531;1
1208.61096;104.5;97.51402;1
1213.62903;105.0;97.52273;1
1218.64294;105.5;97.53126;1
1223.64905;106.0;97.53972;1
1228.65796;106.5;97.54791;1
1233.66699;107.0;97.55572;1
1238.66895;107.5;97.56312;1
1243.68103;108.0;97.57032;1
1248.68005;108.5;97.57647;1
1253.68103;109.0;97.58202;1
1258.68799;109.5;97.58677;1
1263.68799;110.0;97.591;1
1268.69104;110.5;97.59383;1
1273.69202;111.0;97.5953;1
1278.69397;111.5;97.5956;1
1283.72205;112.0;97.59266;1
1288.71997;112.5;97.58549;1
1293.72705;113.0;97.57454;1
1298.70801;113.5;97.55814;1
1303.66699;114.0;97.53459;1
1308.62402;114.5;97.50188;1
1313.59595;115.0;97.45294;1
1318.56799;115.5;97.39569;1
1323.55603;116.0;97.32509;1
1328.53796;116.5;97.24276;1
1329.93553;117.0;97.12121;2
1321.83816;117.5;97.00508;2
1306.01304;118.0;96.94313;2
1284.02412;118.5;96.91895;2
1258.14;119.0;96.91399;2
1231.07443;119.5;96.92351;2
1204.96028;120.0;96.94113;2
1180.89492;120.5;96.96305;2
1159.14953;121.0;96.98614;2
1139.43453;121.5;97.00943;2
1121.06333;122.0;97.02822;2
1103.34744;122.5;97.04131;2
1085.65694;123.0;97.04981;2
1067.57109;123.5;97.05412;2
1048.85335;124.0;97.05575;2
1029.4782;124.5;97.05631;2
1009.56257;125.0;97.0565;2
989.33455;125.5;97.0565;2
968.95854;126.0;97.05646;2
948.59269;126.5;97.05627;2
928.38181;127.0;97.05629;2
908.39184;127.5;97.05627;2
888.66471;128.0;97.0562;2
869.22319;128.5;97.05612;2
