##Temp./°C;Time/min;Mass/%;Segment
118.06;0.0;100.0;1
133.991;0.5;99.97495;1
151.09801;1.0;99.95765;1
169.02499;1.5;99.94658;1
187.522;2.0;99.9386;1
206.34801;2.5;99.93183;1
225.155;3.0;99.92535;1
243.692;3.5;99.91831;1
261.74899;4.0;99.91077;1
279.13501;4.5;99.90232;1
295.72501;5.0;99.89406;1
311.46301;5.5;99.88608;1
326.388;6.0;99.87868;1
340.439;6.5;99.87267;1
353.68399;7.0;99.86707;1
366.19199;7.5;99.86175;1
378.043;8.0;99.85611;1
389.31;8.5;99.84988;1
400.11801;9.0;99.84314;1
410.56799;9.5;99.83578;1
420.707;10.0;99.8277;1
430.63699;10.5;99.81823;1
440.431;11.0;99.8069;1
450.11801;11.5;99.79331;1
459.74799;12.0;99.77653;1
469.34;12.5;99.75563;1
478.92899;13.0;99.72988;1
488.48099;13.5;99.69895;1
498.08301;14.0;99.66202;1
507.68201;14.5;99.61956;1
517.29401;15.0;99.5662;1
526.94897;15.5;99.51794;1
536.62799;16.0;99.46506;1
546.34198;16.5;99.41254;1
556.10901;17.0;99.36388;1
565.93103;17.5;99.32101;1
575.80701;18.0;99.28339;1
585.74298;18.5;99.2517;1
595.68701;19.0;99.22519;1
605.62;19.5;99.20206;1
615.51001;20.0;99.18145;1
625.38599;20.5;99.16204;1
635.19299;21.0;99.14321;1
644.96399;21.5;99.12481;1
654.73901;22.0;99.10653;1
664.55499;22.5;99.08755;1
674.44702;23.0;99.06825;1
684.34802;23.5;99.04804;1
694.23901;24.0;99.02724;1
704.10901;24.5;99.00572;1
713.953;25.0;98.98368;1
723.78998;25.5;98.96118;1
733.59698;26.0;98.93775;1
743.40002;26.5;98.91369;1
753.21002;27.0;98.88935;1
763.02399;27.5;98.86477;1
772.85797;28.0;98.83989;1
782.69098;28.5;98.81539;1
792.54901;29.0;98.7904;1
802.42297;29.5;98.76625;1
812.31201;30.0;98.74268;1
822.224;30.5;98.71953;1
832.16901;31.0;98.69763;1
842.14203;31.5;98.67647;1
852.12598;32.0;98.65593;1
862.13501;32.5;98.63561;1
872.11298;33.0;98.61573;1
882.06097;33.5;98.59606;1
892.00403;34.0;98.57581;1
901.98199;34.5;98.55494;1
911.966;35.0;98.5333;1
921.98102;35.5;98.51062;1
932.00702;36.0;98.48647;1
942.03699;36.5;98.46112;1
952.05701;37.0;98.43377;1
962.04901;37.5;98.40485;1
972.02502;38.0;98.37466;1
981.992;38.5;98.34257;1
992.00098;39.0;98.3091;1
1002.03497;39.5;98.27407;1
1012.10999;40.0;98.23797;1
1022.19397;40.5;98.201;1
1032.28601;41.0;98.16276;1
1042.38098;41.5;98.12416;1
1052.44604;42.0;98.08548;1
1062.51196;42.5;98.04589;1
1072.57996;43.0;98.0067;1
1082.62195;43.5;97.967;1
1092.65198;44.0;97.92609;1
1102.66003;44.5;97.88191;1
1112.67102;45.0;97.83694;1
1122.68201;45.5;97.78635;1
1132.69702;46.0;97.73387;1
1142.73499;46.5;97.67465;1
1152.77197;47.0;97.61561;1
1162.82605;47.5;97.55981;1
1172.90295;48.0;97.51127;1
1182.96997;48.5;97.47528;1
1193.047;49.0;97.45532;1
1203.10303;49.5;97.45161;1
1213.14404;50.0;97.45777;1
1223.146;50.5;97.46825;1
1233.11401;51.0;97.47885;1
1243.07495;51.5;97.48857;1
1253.04102;52.0;97.49596;1
1263.00403;52.5;97.5003;1
1272.97998;53.0;97.50081;1
1282.94299;53.5;97.49327;1
1292.89404;54.0;97.47532;1
1302.80603;54.5;97.44228;1
1312.70996;55.0;97.3788;1
1322.61902;55.5;97.29259;1
1331.698;56.0;97.17579;2
1331.20996;56.5;97.00953;2
1321.19299;57.0;96.89597;2
1303.71704;57.5;96.83067;2
1280.32397;58.0;96.79487;2
1253.26697;58.5;96.77629;2
1225.24902;59.0;96.76785;2
1198.33801;59.5;96.76384;2
1173.63501;60.0;96.76176;2
1151.401;60.5;96.76056;2
1131.328;61.0;96.75994;2
1112.703;61.5;96.75962;2
1094.79504;62.0;96.75951;2
1076.93701;62.5;96.75962;2
1058.70105;63.0;96.75994;2
1039.83203;63.5;96.76104;2
1020.29901;64.0;96.76158;2
1000.24799;64.5;96.7618;2
979.89801;65.0;96.76191;2
959.45697;65.5;96.7618;2
939.05103;66.0;96.76176;2
918.797;66.5;96.76184;2
898.79901;67.0;96.76184;2
879.09601;67.5;96.76176;2
859.64398;68.0;96.76165;2
840.39099;68.5;96.76155;2
821.31598;69.0;96.76147;2
802.38202;69.5;96.7614;2
783.539;70.0;96.76122;2
764.755;70.5;96.76118;2
746.05499;71.0;96.76107;2
727.58899;71.5;96.76093;2
709.547;72.0;96.76078;2
692.09802;72.5;96.76056;2
675.19598;73.0;96.76045;2
658.86102;73.5;96.76045;2
643.01703;74.0;96.76045;2
627.64099;74.5;96.76042;2
612.70697;75.0;96.76045;2
598.18298;75.5;96.76049;2
584.065;76.0;96.76049;2
570.35901;76.5;96.76053;2
557.03699;77.0;96.76056;2
544.15198;77.5;96.7606;2
531.64301;78.0;96.76075;2
519.44;78.5;96.76089;2
507.543;79.0;96.76096;2
495.918;79.5;96.76085;2
484.57501;80.0;96.76085;2
473.48599;80.5;96.76085;2
462.673;81.0;96.76082;2
452.10999;81.5;96.76085;2
