##Temp./°C;Time/min;Mass/%;Segment
117.344;0.0;100.0;1
133.289;0.5;99.98487;1
150.388;1.0;99.9738;1
168.364;1.5;99.9659;1
186.849;2.0;99.96009;1
205.658;2.5;99.95484;1
224.502;3.0;99.94957;1
243.13499;3.5;99.94366;1
261.26401;4.0;99.93613;1
278.832;4.5;99.92726;1
295.69299;5.0;99.91819;1
311.79999;5.5;99.90924;1
327.091;6.0;99.90119;1
341.55099;6.5;99.89439;1
355.15601;7.0;99.88858;1
367.95499;7.5;99.88283;1
379.99301;8.0;99.87722;1
391.36401;8.5;99.87081;1
402.16901;9.0;99.86424;1
412.50699;9.5;99.85725;1
422.45999;10.0;99.84976;1
432.16299;10.5;99.84124;1
441.673;11.0;99.83121;1
451.065;11.5;99.81916;1
460.38599;12.0;99.80421;1
469.70599;12.5;99.78577;1
479.04099;13.0;99.76339;1
488.41199;13.5;99.73605;1
497.82999;14.0;99.70391;1
507.293;14.5;99.6665;1
516.82202;15.0;99.62429;1
526.41199;15.5;99.57821;1
536.05499;16.0;99.52447;1
545.73602;16.5;99.47475;1
555.49103;17.0;99.42743;1
565.33698;17.5;99.38841;1
575.24402;18.0;99.35147;1
585.22998;18.5;99.32136;1
595.23602;19.0;99.29686;1
605.24902;19.5;99.27716;1
615.22998;20.0;99.2608;1
625.159;20.5;99.24659;1
635.02502;21.0;99.23365;1
644.81897;21.5;99.22181;1
654.58698;22.0;99.21048;1
664.37701;22.5;99.19927;1
674.27301;23.0;99.18783;1
684.21698;23.5;99.17604;1
694.159;24.0;99.16417;1
704.078;24.5;99.15196;1
713.97101;25.0;99.13971;1
723.86102;25.5;99.12746;1
733.716;26.0;99.11505;1
743.58502;26.5;99.10242;1
753.41101;27.0;99.08983;1
763.24103;27.5;99.07666;1
773.073;28.0;99.06348;1
782.90302;28.5;99.05004;1
792.758;29.0;99.03637;1
802.625;29.5;99.02246;1
812.51202;30.0;99.00837;1
822.427;30.5;98.99428;1
832.37299;31.0;98.98018;1
842.31097;31.5;98.96659;1
852.26898;32.0;98.95349;1
862.23901;32.5;98.94124;1
872.21997;33.0;98.92968;1
882.20001;33.5;98.91885;1
892.19202;34.0;98.90821;1
902.16302;34.5;98.89784;1
912.14398;35.0;98.88751;1
922.146;35.5;98.87702;1
932.16602;36.0;98.86604;1
942.20697;36.5;98.85487;1
952.242;37.0;98.84346;1
962.25403;37.5;98.83163;1
972.21503;38.0;98.81984;1
982.15698;38.5;98.80813;1
992.10303;39.0;98.797;1
1002.086;39.5;98.78632;1
1012.11603;40.0;98.77657;1
1022.16803;40.5;98.76769;1
1032.23999;41.0;98.76001;1
1042.30505;41.5;98.75306;1
1052.34204;42.0;98.74703;1
1062.40906;42.5;98.7417;1
1072.453;43.0;98.73643;1
1082.49402;43.5;98.7324;1
1092.53503;44.0;98.72829;1
1102.58203;44.5;98.72468;1
1112.62805;45.0;98.72123;1
1122.65198;45.5;98.71784;1
1132.66199;46.0;98.7145;1
1142.69202;46.5;98.7114;1
1152.70801;47.0;98.70851;1
1162.71204;47.5;98.70655;1
1172.71997;48.0;98.70548;1
1182.72705;48.5;98.70544;1
1192.74902;49.0;98.70655;1
1202.76794;49.5;98.70866;1
1212.80298;50.0;98.71071;1
1222.83606;50.5;98.71228;1
1232.83606;51.0;98.71305;1
1242.849;51.5;98.71297;1
1252.85999;52.0;98.71105;1
1262.85901;52.5;98.70728;1
1272.84998;53.0;98.70141;1
1282.81702;53.5;98.69093;1
1292.77197;54.0;98.67142;1
1302.68201;54.5;98.63715;1
1312.55396;55.0;98.57267;1
1322.38306;55.5;98.48512;1
1331.46204;56.0;98.37428;2
1330.95898;56.5;98.20339;2
1320.87598;57.0;98.08883;2
1303.22998;57.5;98.02054;2
1279.60095;58.0;97.98529;2
1252.41199;58.5;97.97035;2
1224.43396;59.0;97.96586;2
1197.745;59.5;97.96835;2
1173.35095;60.0;97.97461;2
1151.45203;60.5;97.98126;2
1131.61304;61.0;97.98836;2
1113.15198;61.5;97.99562;2
1095.25598;62.0;98.00261;2
1077.328;62.5;98.00975;2
1058.94604;63.0;98.01624;2
1039.92603;63.5;98.02308;2
1020.26898;64.0;98.0288;2
1000.12402;64.5;98.03426;2
979.75598;65.0;98.03963;2
959.32098;65.5;98.04543;2
938.97998;66.0;98.05157;2
918.823;66.5;98.0581;2
898.91998;67.0;98.06467;2
879.31;67.5;98.07139;2
859.92603;68.0;98.07807;2
840.72198;68.5;98.08457;2
821.66101;69.0;98.09121;2
802.73798;69.5;98.09739;2
783.90302;70.0;98.10369;2
765.12201;70.5;98.10995;2
746.42102;71.0;98.11591;2
728.01001;71.5;98.12197;2
710.00403;72.0;98.12754;2
692.53699;72.5;98.1331;2
675.71503;73.0;98.13852;2
659.49402;73.5;98.14347;2
643.76099;74.0;98.14859;2
628.474;74.5;98.15354;2
613.61102;75.0;98.15819;2
599.13898;75.5;98.16272;2
585.02502;76.0;98.16678;2
571.302;76.5;98.1709;2
557.97601;77.0;98.17466;2
545.02399;77.5;98.17824;2
532.44897;78.0;98.18157;2
520.19098;78.5;98.18464;2
508.24399;79.0;98.18737;2
496.58701;79.5;98.18976;2
485.207;80.0;98.1921;2
474.11801;80.5;98.19405;2
463.285;81.0;98.19586;2
452.71399;81.5;98.19739;2
