##Temp./°C;Time/min;Mass/%;Segment
118.956;0.0;100.0;1
135.01401;0.5;99.98862;1
152.035;1.0;99.98025;1
169.905;1.5;99.97407;1
188.27299;2.0;99.9695;1
206.91499;2.5;99.96511;1
225.54601;3.0;99.96062;1
243.96001;3.5;99.95486;1
261.983;4.0;99.94806;1
279.45901;4.5;99.94004;1
296.271;5.0;99.93195;1
312.32901;5.5;99.92393;1
327.59201;6.0;99.91688;1
341.98999;6.5;99.91121;1
355.547;7.0;99.90577;1
368.246;7.5;99.90069;1
380.19199;8.0;99.89518;1
391.47299;8.5;99.88981;1
402.159;9.0;99.8838;1
412.39301;9.5;99.87726;1
422.254;10.0;99.87018;1
431.862;10.5;99.8622;1
441.28;11.0;99.85285;1
450.64099;11.5;99.8417;1
459.92499;12.0;99.82805;1
469.237;12.5;99.811;1
478.577;13.0;99.78987;1
487.98901;13.5;99.76429;1
497.45001;14.0;99.73352;1
506.96701;14.5;99.69768;1
516.53601;15.0;99.65719;1
526.14301;15.5;99.61257;1
535.78101;16.0;99.56559;1
545.466;16.5;99.5183;1
555.20203;17.0;99.47367;1
564.992;17.5;99.43413;1
574.84601;18.0;99.40127;1
584.758;18.5;99.37569;1
594.70001;19.0;99.35589;1
604.65997;19.5;99.34114;1
614.61401;20.0;99.3298;1
624.53601;20.5;99.3208;1
634.42798;21.0;99.31338;1
644.26898;21.5;99.30723;1
654.09802;22.0;99.30187;1
663.935;22.5;99.2969;1
673.87402;23.0;99.29248;1
683.85303;23.5;99.28791;1
693.83698;24.0;99.28341;1
703.80499;24.5;99.27903;1
713.72601;25.0;99.27453;1
723.65399;25.5;99.27007;1
733.54303;26.0;99.26565;1
743.409;26.5;99.2612;1
753.26801;27.0;99.25693;1
763.11902;27.5;99.25263;1
772.995;28.0;99.24833;1
782.85699;28.5;99.24437;1
792.724;29.0;99.24031;1
802.60797;29.5;99.23605;1
812.51898;30.0;99.23232;1
822.422;30.5;99.22881;1
832.34601;31.0;99.22525;1
842.28699;31.5;99.22188;1
852.23102;32.0;99.21832;1
862.19897;32.5;99.21504;1
872.20001;33.0;99.21156;1
882.16498;33.5;99.20795;1
892.15002;34.0;99.20408;1
902.15399;34.5;99.1999;1
912.15302;35.0;99.19501;1
922.177;35.5;99.18961;1
932.21698;36.0;99.18378;1
942.284;36.5;99.17757;1
952.354;37.0;99.17072;1
962.37299;37.5;99.16321;1
972.34198;38.0;99.15535;1
982.245;38.5;99.14736;1
992.16901;39.0;99.13962;1
1002.13702;39.5;99.13219;1
1012.159;40.0;99.12527;1
1022.20203;40.5;99.11959;1
1032.27405;41.0;99.11494;1
1042.34302;41.5;99.11115;1
1052.40796;42.0;99.10844;1
1062.43604;42.5;99.10633;1
1072.47705;43.0;99.10512;1
1082.50098;43.5;99.10438;1
1092.54199;44.0;99.10391;1
1102.56799;44.5;99.10391;1
1112.60706;45.0;99.10383;1
1122.64099;45.5;99.10344;1
1132.66296;46.0;99.10282;1
1142.69702;46.5;99.10196;1
1152.71204;47.0;99.10098;1
1162.73096;47.5;99.09973;1
1172.74902;48.0;99.09817;1
1182.77295;48.5;99.09655;1
1192.80505;49.0;99.09456;1
1202.83801;49.5;99.09241;1
1212.88696;50.0;99.0903;1
1222.93896;50.5;99.0876;1
1232.95801;51.0;99.08454;1
1242.99597;51.5;99.08111;1
1253.00806;52.0;99.07696;1
1263.01404;52.5;99.07179;1
1272.98303;53.0;99.06472;1
1282.95398;53.5;99.05482;1
1292.90698;54.0;99.03765;1
1302.82605;54.5;99.00784;1
1312.69702;55.0;98.95168;1
1322.53101;55.5;98.87313;1
1331.61499;56.0;98.77174;2
