##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha,lnB
312.32901,5.5,99.92393,1,0.05,10.33153674,0.002342125,2.9
450.64099,11.5,99.8417,1,0.1,4.964750474,0.010142503,2.9
487.98901,13.5,99.76429,1,0.15,3.334266684,0.022487405,2.9
506.96701,14.5,99.69768,1,0.2,2.599629532,0.03699279,2.9
526.14301,15.5,99.61257,1,0.25,2.028547092,0.060753293,2.9
545.466,16.5,99.5183,1,0.3,1.63155491,0.093915358,2.9
564.992,17.5,99.43413,1,0.35,1.388870235,0.129603481,2.9
584.758,18.5,99.37569,1,0.4,1.258861783,0.157755282,2.9
673.87402,23,99.29248,1,0.45,1.110809588,0.20260995,2.9
842.28699,31.5,99.22188,1,0.5,1.010024161,0.245062288,2.9
992.16901,39,99.13962,1,0.55,0.913456845,0.299615267,2.9
1272.98303,53,99.06472,1,0.6,0.840304508,0.35405165,2.9
1322.53101,55.5,98.87313,1,0.7,0.697436262,0.513961942,2.9
1331.61499,56,98.77174,2,0.8,0.639864524,0.610610045,2.9
1331.125,56.5,98.61121,2,0.9,0.565902692,0.780650224,2.9
1320.86206,57,98.4986,2,0.95,0.523458106,0.912380827,2.9
1303.04797,57.5,98.4323,2,1,0.501320406,0.994739225,2.9
