##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
192.946,1.5,99.96651,1.0,0.03,1.0,0.0259852111637871
236.08299,2.25,99.95093,1.0,0.04,1.0,0.0380738821083018
265.806,2.75,99.9386,1.0,0.05,1.0,0.0476408469828804
295.526,3.25,99.9248,1.0,0.06,1.0,0.0583483989106193
324.71701,3.75,99.91129,1.0,0.07,1.0,0.0688309370659804
366.133,4.5,99.89501,1.0,0.08,1.0,0.0814627447024782
379.08401,4.75,99.89017,1.0,0.09,1.0,0.0852181469727907
414.897,5.5,99.87305,1.0,0.1,1.0,0.0985017186396706
436.20999,6.0,99.85895,1.0,0.11,1.0,0.1094420434354227
446.10101,6.25,99.85038,1.0,0.12,1.0,0.1160915883644594
464.54901,6.75,99.82889,1.0,0.13,1.0,0.1327658848084659
473.14999,7.0,99.81493,1.0,0.14,1.0,0.1435975822658082
481.38901,7.25,99.79883,1.0,0.16,1.0,0.1560897261815202
489.30801,7.5,99.7802,1.0,0.17,1.0,0.1705449212839803
496.95099,7.75,99.7587,1.0,0.19,1.0,0.1872269768235781
504.354,8.0,99.72951,1.0,0.21,1.0,0.2098757768794435
511.552,8.25,99.70556,1.0,0.23,1.0,0.2284588108410044
518.60303,8.5,99.67761,1.0,0.25,1.0,0.2501454830424959
525.52899,8.75,99.64744,1.0,0.27,1.0,0.2735546744671421
532.41498,9.0,99.61624,1.0,0.3,1.0,0.2977630527385695
539.242,9.25,99.58359,1.0,0.32,1.0,0.3230964998719747
546.04999,9.5,99.55066,1.0,0.35,1.0,0.3486472016821775
552.91699,9.75,99.51796,1.0,0.37,1.0,0.374019444293572
559.81097,10.0,99.48571,1.0,0.4,1.0,0.3990425276029852
566.76001,10.25,99.45584,1.0,0.42,1.0,0.4222189461596402
573.81702,10.5,99.43035,1.0,0.44,1.0,0.4419968808435662
580.95203,10.75,99.40402,1.0,0.46,1.0,0.4624265795578853
588.20599,11.0,99.38426,1.0,0.48,1.0,0.4777585524631275
595.56201,11.25,99.36657,1.0,0.49,1.0,0.4914843925792049
602.99298,11.5,99.35179,1.0,0.5,1.0,0.5029523358757357
610.53101,11.75,99.3396,1.0,0.51,1.0,0.5124106734119045
618.13702,12.0,99.32953,1.0,0.52,1.0,0.5202240826809194
625.77301,12.25,99.32101,1.0,0.53,1.0,0.5268348321319667
641.17999,12.75,99.30743,1.0,0.54,1.0,0.5373716839565216
656.60797,13.25,99.29736,1.0,0.55,1.0,0.5451850932255363
695.34998,14.5,99.27775,1.0,0.56,1.0,0.5604006796967773
710.60199,15.0,99.27054,1.0,0.57,1.0,0.5659949876242458
747.57898,16.25,99.2535,1.0,0.58,1.0,0.5792164865263294
776.36798,17.25,99.24019,1.0,0.59,1.0,0.589543842769689
805.047,18.25,99.22751,1.0,0.6,1.0,0.5993823759902592
834.12701,19.25,99.21496,1.0,0.61,1.0,0.6091200409680219
856.24298,20.0,99.2062,1.0,0.62,1.0,0.6159170087134688
908.41302,21.75,99.18727,1.0,0.63,1.0,0.6306049766839202
923.39099,22.25,99.18075,1.0,0.64,1.0,0.6356639070149968
953.396,23.25,99.16453,1.0,0.65,1.0,0.648249160077903
968.32599,23.75,99.15476,1.0,0.66,1.0,0.6558297964789265
997.83099,24.75,99.13462,1.0,0.67,1.0,0.6714566150169561
1005.203,25.0,99.12968,1.0,0.68,1.0,0.6752896082432693
1027.448,25.75,99.11696,1.0,0.69,1.0,0.6851591778462267
1177.59399,30.75,99.09735,1.0,0.7,1.0,0.7003747643174677
1229.98706,32.5,99.0854,1.0,0.71,1.0,0.709646883559248
1260.11206,33.5,99.07224,1.0,0.72,1.0,0.7198578533686174
1275.16101,34.0,99.06153,1.0,0.73,1.0,0.7281678447560127
1290.13599,34.5,99.0409,1.0,0.74,1.0,0.7441748589784437
1297.59998,34.75,99.02363,1.0,0.76,1.0,0.7575748170793246
1305.01599,35.0,98.99319,1.0,0.78,1.0,0.7811935040851662
1312.41394,35.25,98.95841,1.0,0.81,1.0,0.8081796385813277
1319.77405,35.5,98.91372,1.0,0.84,1.0,0.8428550368169115
1327.12305,35.75,98.8579,1.0,0.89,1.0,0.8861663084550873
1333.45179,36.0,98.79554,2.0,0.93,1.0,0.934552028615544
1336.65409,36.25,98.71119,2.0,1.0,1.0,1.0
