##Temp./°C,Time/min,Mass/%,Segment,Alpha,F_alpha,G_alpha
204.48801,5.0,99.94952,1.0,0.03,1.9745693880659656,0.0127153059670171
250.996,8.5,99.92911,1.0,0.04,1.964193848837174,0.017903075581413
302.698,13.5,99.89997,1.0,0.05,1.9492846556405432,0.0253576721797283
326.427,16.0,99.88974,1.0,0.06,1.9440234605480888,0.0279882697259556
374.07401,21.0,99.86917,1.0,0.07,1.9334011626829952,0.0332994186585023
418.03699,25.5,99.83971,1.0,0.08,1.9180856381115563,0.0409571809442217
428.065,26.5,99.82993,1.0,0.09,1.9129741486117335,0.0435129256941331
443.27301,28.0,99.80964,1.0,0.1,1.9023258332615895,0.0488370833692051
458.49701,29.5,99.78009,1.0,0.11,1.8867103192657864,0.0566448403671068
463.535,30.0,99.76733,1.0,0.12,1.879927279159568,0.0600363604202162
473.577,31.0,99.73746,1.0,0.13,1.863952277881029,0.0680238610594855
478.56299,31.5,99.71971,1.0,0.14,1.8543940789711213,0.0728029605144393
483.53101,32.0,99.70044,1.0,0.15,1.843961285178818,0.0780193574105909
488.47198,32.5,99.6793,1.0,0.16,1.8324477496356169,0.0837761251821916
493.423,33.0,99.65651,1.0,0.17,1.8199539846434625,0.0900230076782688
498.34201,33.5,99.63213,1.0,0.18,1.8064929039497415,0.0967535480251291
503.26599,34.0,99.60639,1.0,0.2,1.7921711971382197,0.1039144014308902
508.20901,34.5,99.57944,1.0,0.21,1.7770525635463317,0.1114737182268341
513.14899,35.0,99.55187,1.0,0.22,1.7614518460445578,0.119274076977721
518.10101,35.5,99.52357,1.0,0.24,1.7452930197089342,0.1273534901455328
523.08002,36.0,99.49484,1.0,0.25,1.7287341778095495,0.1356329110952251
528.05902,36.5,99.46687,1.0,0.27,1.7124595565455143,0.1437702217272427
533.07202,37.0,99.4398,1.0,0.28,1.696559952210299,0.1517200238948505
538.09302,37.5,99.41417,1.0,0.29,1.681367571788995,0.1593162141055024
543.14697,38.0,99.39029,1.0,0.31,1.6670879291678893,0.1664560354160553
548.18298,38.5,99.36834,1.0,0.32,1.653853633323496,0.1730731833382519
553.26501,39.0,99.34882,1.0,0.33,1.6419948503013773,0.1790025748493113
563.40503,40.0,99.31568,1.0,0.34,1.6216630694512009,0.1891684652743995
568.46698,40.5,99.30153,1.0,0.35,1.6129038006581022,0.1935480996709488
573.50702,41.0,99.28892,1.0,0.36,1.605057556655028,0.1974712216724859
583.58398,42.0,99.26759,1.0,0.37,1.5916974770611902,0.2041512614694048
593.586,43.0,99.24948,1.0,0.38,1.5802655912988848,0.2098672043505576
613.49701,45.0,99.2186,1.0,0.39,1.5605795534933402,0.2197102232533299
623.41302,46.0,99.20385,1.0,0.4,1.5510882394505856,0.2244558802747072
633.33099,47.0,99.19006,1.0,0.41,1.5421618304388158,0.228919084780592
648.20898,48.5,99.16913,1.0,0.42,1.5285140256536638,0.2357429871731681
663.12799,50.0,99.14779,1.0,0.43,1.5144722519746907,0.2427638740126546
683.27197,52.0,99.11809,1.0,0.44,1.4947100424621245,0.2526449787689377
688.28497,52.5,99.11057,1.0,0.45,1.4896646839126946,0.2551676580436527
703.271,54.0,99.0879,1.0,0.46,1.4743503303783378,0.2628248348108311
723.13599,56.0,99.05867,1.0,0.47,1.4543664886321943,0.2728167556839027
733.04199,57.0,99.04408,1.0,0.48,1.4442882101079242,0.2778558949460379
742.95801,58.0,99.02994,1.0,0.49,1.4344532115543085,0.2827733942228458
757.87701,59.5,99.01026,1.0,0.5,1.4206515749040596,0.2896742125479702
782.776,62.0,98.97987,1.0,0.51,1.3990715579990711,0.3004642210004643
792.742,63.0,98.9685,1.0,0.52,1.3909116281256213,0.3045441859371893
817.70398,65.5,98.94328,1.0,0.53,1.3726388225790327,0.3136805887104836
832.76202,67.0,98.92959,1.0,0.54,1.3626173164957749,0.3186913417521125
857.82397,69.5,98.90946,1.0,0.55,1.3477461929724597,0.3261269035137701
897.79401,73.5,98.88117,1.0,0.56,1.3265650916215668,0.3367174541892166
912.89301,75.0,98.87082,1.0,0.57,1.318730910246516,0.340634544876742
953.03699,79.0,98.84212,1.0,0.58,1.2967595826908338,0.3516202086545831
967.99597,80.5,98.83089,1.0,0.59,1.2880604291418685,0.3559697854290657
1013.22101,85.0,98.8011,1.0,0.6,1.2646941811444945,0.3676529094277528
1048.33704,88.5,98.79132,1.0,0.61,1.2569283790048202,0.3715358104975899
1268.79602,110.5,98.7621,1.0,0.62,1.2334350244109205,0.3832824877945398
1283.78699,112.0,98.74905,1.0,0.63,1.2227968108752072,0.3886015945623964
1293.77295,113.0,98.73022,1.0,0.64,1.2072816036686678,0.3963591981656661
1303.75,114.0,98.69239,1.0,0.65,1.175492297104041,0.4122538514479796
1308.73901,114.5,98.66212,1.0,0.67,1.1494227867893063,0.4252886066053467
1313.71997,115.0,98.62113,1.0,0.69,1.113148133937908,0.4434259330310459
1318.70496,115.5,98.56584,1.0,0.72,1.0622579765999025,0.4688710117000487
1323.68396,116.0,98.49601,1.0,0.75,0.9942695383257438,0.5028652308371281
1328.66296,116.5,98.4136,1.0,0.79,0.907503707767443,0.5462481461162785
1329.9353,117.0,98.28198,2.0,0.86,0.7483456583035882,0.6258271708482059
1321.64564,117.5,98.15861,2.0,0.92,0.5594625842258739,0.7202687078870631
1305.62652,118.0,98.09026,2.0,0.96,0.419692366175686,0.790153816912157
1283.49913,118.5,98.05003,2.0,0.98,0.309175435505746,0.8454122822471271
1257.56786,119.0,98.02889,2.0,0.99,0.2307834132395252,0.8846082933802374
1180.38935,120.5,98.01142,2.0,1.0,0.1352069956280239,0.932396502185988
